TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
Cash Accounts Client,TAccount Category,Yes,Cash Accounts Client,Cash Accounts Client,Summary,Balance Sheet,Asset,
Cash Accounts Nostro,TAccount Category,Yes,Cash Accounts Nostro,Cash Accounts Nostro,Summary,Balance Sheet,Asset,
Asset Accrual,TAccount Category,Yes,01-031 LoanDepo Accrual Assets,LoanDepo Accrual Assets,TAccount,Balance Sheet,Asset,
Treasury Suspense Account,TAccount Category,Yes,01-999 Treasury Suspense Account,Treasury Suspense Account,Suspense,Balance Sheet,Asset,
Principal Liabilities,TAccount Category,Yes,03-021 LoanDepo Principal Liabilities,LoanDepo Principal Liabilities,TAccount,Balance Sheet,Liability,
Liabilities Accrual,TAccount Category,Yes,03-022 LoanDepo Accrual Liabilities,LoanDepo Accrual Liabilities,TAccount,Balance Sheet,Liability,
Interest Income,TAccount Category,Yes,05-018 LoanDepo Interest Income,LoanDepo Interest Income,TAccount,Revenue Sheet,Revenue,
Interest Expense,TAccount Category,Yes,07-004 LoanDepo Interest Expense,LoanDepo Interest Expense,TAccount,Revenue Sheet,Expense,
PENEMPATAN PADA BANK LAIN (PPBL) INTERBANK CALL MONEY - NON DISKONTO,TAccount Category,Yes,12511102,PPBL INTERBANK CALL MONEY NON DISKONTO,TAccount,Balance Sheet,Asset,
PENEMPATAN PADA BANK INDONESIA SERTIFIKAT BANK INDONESIA (SBI) INTERVENSI,TAccount Category,Yes,12511103,PPBI SBI INTERVENSI,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,13011101,EFEK2 DIPERDAG. SBI,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) REKSADANA,TAccount Category,Yes,13012601,EFEK2 DIPERDAGANGKAN SBPU REKSADANA,TAccount,Balance Sheet,Asset,
EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK INDONESIA (SUKBI),TAccount Category,Yes,13012701,EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK IND,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) KOMERSIAL,TAccount Category,Yes,13012801,EFEK2 DIPERDAG. SBPU KOMERSIAL,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,13012802,EFEK2 DIPERDAGANGKAN SBPU-SPN,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI - NON DISKONTO,TAccount Category,Yes,13013101,EFEK2 DIPERDAG. SBPM OBLIGASI NONDISK,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) REKSADANA,TAccount Category,Yes,13013201,EFEK2 DIPERDAG. SBPM REKSADANA,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN PRODUK TREASURY,TAccount Category,Yes,13013401,EFEK2 DIPERDAGANGKAN PRODUK TREASURY,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,13021101,EFEK2 DHGJT SERTIFIKAT BANK INDONESIA,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,13022801,EFEK2 DHGJT SBPU SURAT BHRG KOMERSIAL,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,13022804,EFEK2 DHGJT SBPU-SPN,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI,TAccount Category,Yes,13023101,EFEK2 DHGJT SBPM OBLIGASI,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) REKSADANA,TAccount Category,Yes,13023201,EFEK2 DHGJT SBPM REKSADANA,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,13031101,EFEK2 TSD U/DJL SBI,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,13032801,EFEK2 TSD U/DJL SBPU SRT BHRG KOMERSIAL,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,13032802,EFEK2 TSD U/ DJL SBPU SPN,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI - NON DISKONTO,TAccount Category,Yes,13033101,EFEK2 TSD U/DJL SBPM OBLIGASI NON DISK,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) REKSADANA,TAccount Category,Yes,13033201,EFEK2 TSD U/DJL SBPM REKSADANA,TAccount,Balance Sheet,Asset,
EFEK-EFEK TERSEDIA UNTUK DIJUAL PRODUK TREASURY,TAccount Category,Yes,13033401,EFEK2 TSD U/ DIJUAL PRODUK TREASURY,TAccount,Balance Sheet,Asset,
TAGIHAN EFEK-EFEK REVERSE REPO  PRODUK TREASURY,TAccount Category,Yes,13511103,TAG EFEK2 REV. REPO PRODUK TREASURY,TAccount,Balance Sheet,Asset,
OBLIGASI PEMERINTAH - DIPERDAGANGKAN,TAccount Category,Yes,14011101,OBLIGASI PEMERINTAH - DIPERDAGANGKAN,TAccount,Balance Sheet,Asset,
OBLIGASI PEMERINTAH - DIMILIKI HINGGA JATUH TEMPO,TAccount Category,Yes,14021101,OBL. PEM. DIMILIKI HINGGA JATUH TEMPO,TAccount,Balance Sheet,Asset,
OBLIGASI PEMERINTAH - TERSEDIA UNTUK DIJUAL,TAccount Category,Yes,14031101,OBL. PEM. TERSEDIA UNTUK DIJUAL,TAccount,Balance Sheet,Asset,
TAGIHAN DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - SPOT TRADING,TAccount Category,Yes,14512101,TAG DER TDNT SPOT TRADING,TAccount,Balance Sheet,Asset,
TAGIHAN DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - FORWARD TRADING,TAccount Category,Yes,14512201,TAG DER TDNT FORWARD TRADING,TAccount,Balance Sheet,Asset,
TAGIHAN DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - SWAP TRADING,TAccount Category,Yes,14512601,TAG DER TDNT SWAP TRADING,TAccount,Balance Sheet,Asset,
TAGIHAN DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - FORWARD RATE AGREEMENT (FRA) TRADING,TAccount Category,Yes,14522201,TAG DER TDSB FRA TRADING,TAccount,Balance Sheet,Asset,
TAGIHAN DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - INTEREST RATE SWAP (IRS) TRADING,TAccount Category,Yes,14522601,TAG DER TDSB INTEREST RATE SWAP TRADING,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD)  BUNGA PENEMPATAN PADA BANK LAIN (PPBL) INTERBANK CALL MONEY - NON DISKONTO,TAccount Category,Yes,16511102,PYMAD BNG PPBL INTERBANK CALL MONEY NDIS,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,16526101,PYMAD BUNGA EFEK2 DHGJT SBPM OBLIGASI,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) -  OBLIGASI,TAccount Category,Yes,16529101,PYMAD BNG EFEK2 TSD U/DJL SBPM OBLIGASI,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK REVERSE REPO - PRODUK TREASURY,TAccount Category,Yes,16531103,PYMAD BUNGA EFEK2 REV. REPO PRD TREASURY,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) OBLIGASI PEMERINTAH DIMILIKI HINGGA JATUH TEMPO,TAccount Category,Yes,16562101,PYMAD BUNGA OBL. PEM. DHGJT,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) OBLIGASI PEMERINTAH TERSEDIA UNTUK DIJUAL,TAccount Category,Yes,16563101,PYMAD BUNGA OBL. PEM. TERSEDIA U/DJL,TAccount,Balance Sheet,Asset,
BIAYA DIBAYAR DI MUKA (BDD) TRANSAKSI TREASURY,TAccount Category,Yes,17011903,BDD TRN TREASURY,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) BEBAN DITANGGUHKAN PENERBITAN OBLIGASI,TAccount Category,Yes,19511104,ALL BEBAN DITANG PENERBITAN OBLIGASI,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) AKUN SUSPEND TRANSAKSI TREASURY,TAccount Category,Yes,19511633,ALL AKUN SUSPEND TRANSAKSI TREASURY,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) AKUN YANG MASIH HARUS DISELESAIKAN TRANSAKSI TREASURY,TAccount Category,Yes,19511931,ALL AKUN YMHD TRN TREASURY,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) TAGIHAN TRANSAKSI SEKURITAS YANG BELUM DITERIMA,TAccount Category,Yes,19511942,ALL TAG TRN SEKURITAS YG BELUM DITERIMA,TAccount,Balance Sheet,Asset,
ASET KANTOR SENDIRI (KS) - PENEMPATAN,TAccount Category,Yes,19611206,ASET KS-PENEMPATAN,TAccount,Balance Sheet,Asset,
ASET KANTOR SENDIRI (KS) - PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA,TAccount Category,Yes,19611207,ASET KS-PYMAD BUNGA,TAccount,Balance Sheet,Asset,
REKENING POSISI DEVISA UMUM (DU) TREASURY SYSTEM,TAccount Category,Yes,19811105,REKENING POSISI DU TREASURY SYSTEM,TAccount,Balance Sheet,Asset,
TITIPAN PAJAK - PAJAK LAINNYA,TAccount Category,Yes,21011110,TITIPAN PAJAK-PAJAK LAINNYA,TAccount,Balance Sheet,Liability,
SERTIFIKAT DEPOSITO,TAccount Category,Yes,21514101,SERTIFIKAT DEPOSITO,TAccount,Balance Sheet,Liability,
SERTIFIKAT DEPOSITO BANK LAIN,TAccount Category,Yes,22014101,SERTIFIKAT DEPOSITO BANK LAIN,TAccount,Balance Sheet,Liability,
PENEMPATAN DARI BANK LAIN - INTERBANK CALL MONEY,TAccount Category,Yes,22015101,PENMPT DR BL-INTERBANK CALL MONEY,TAccount,Balance Sheet,Liability,
LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,22511102,LIAB EFEK2 REPO SBPM OBLIGASI,TAccount,Balance Sheet,Liability,
LIABILITAS EFEK-EFEK REPO PRODUK TREASURY,TAccount Category,Yes,22511105,LIAB EFEK2 REPO PRODUK TREASURY,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT TRADING,TAccount Category,Yes,23012101,LIAB DER TDNT SPOT TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING,TAccount Category,Yes,23012201,LIAB DER TDNT FORWARD TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP TRADING,TAccount Category,Yes,23012601,LIAB DER TDNT SWAP TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT TRADING,TAccount Category,Yes,23022201,LIAB DER TDSB FRA TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) TRADING,TAccount Category,Yes,23022601,LIAB DER TDSB INTEREST RATE SWAP TRADING,TAccount,Balance Sheet,Liability,
SURAT BERHARGA YANG DITERBITKAN SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,24012101,SB YG DITERBITKAN SBPM OBLIGASI,TAccount,Balance Sheet,Liability,
PINJAMAN DITERIMA - LAINNYA,TAccount Category,Yes,24511901,PINJAMAN DITERIMA - LAINNYA,TAccount,Balance Sheet,Liability,
PINJAMAN DITERIMA-REPO TO MATURITY,TAccount Category,Yes,24511905,PINJAMAN DITERIMA-REPO TO MATURITY,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,27511601,LLL BBN BNG YMHD SBPM OBLIGASI,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) PENEMPATAN DARI BANK LAIN - INTERBANK CALL MONEY,TAccount Category,Yes,27513501,LLL BBYMHD INTERBANK CALLMONEY BANK LAIN,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) PRODUK TREASURY,TAccount Category,Yes,27513601,LLL BBN BNG YMHD PRODUK TREASURY,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) PINJAMAN DITERIMA - LAINNYA,TAccount Category,Yes,27514104,LLL BBN BNG YMHD PINJ DITERIMA LAINNYA,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BEBAN BUNGA YANG MASIH HARUS DIBAYAR PINJAMAN DITERIMA -  REPO TO MATURITY,TAccount Category,Yes,27514105,KLL BBN BYMHD PINJ DTRM REPO TO MATURITY,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) AKUN YANG MASIH HARUS DISELESAIKAN TRANSAKSI TREASURY,TAccount Category,Yes,29511931,LLL AKUN YMHD TRN TREASURY,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) TRANSAKSI SEKURITAS YANG BELUM DIBAYAR,TAccount Category,Yes,29511942,LLL TRN SEKURITAS YANG BELUM DIBAYAR,TAccount,Balance Sheet,Liability,
LIABILITAS KANTOR SENDIRI (KS) - DEPOSIT TAKEN,TAccount Category,Yes,29611204,LIABILITAS KS-DEPOSITS TAKEN,TAccount,Balance Sheet,Liability,
LIABILITAS KANTOR SENDIRI (KS) - BIAYA YANG MASIH HARUS DIBAYAR (BYMHD) BUNGA,TAccount Category,Yes,29611207,LIABILITAS KS-BYMHD BUNGA,TAccount,Balance Sheet,Liability,
LABA (RUGI) BELUM DIREALISASI DARI SURAT BERHARGA,TAccount Category,Yes,33511101,LABA(RUGI) BLM  DIREALISASI DR SRT BHRGA,TAccount,Balance Sheet,Equity,
PENDAPATAN BUNGA PENEMPATAN PADA BANK LAIN (PPBL) INTERBANK CALL MONEY - NON DISKONTO,TAccount Category,Yes,41021102,PEND BNG PPBL INTERBANK CALL MONEY-NDISK,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK2 DIMILIKI HINGGA JATUH TEMPO PRODUK TREASURY,TAccount Category,Yes,41023401,PEND BNG EFEK2 DIMILIKI HG JT PROD TRS,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,41031209,PEND BNG EFEK2 DPDG SBPU SRT BHRG KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,41032101,PEND BNG EFEK2 DHGJT SBI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO  SURAT BERHARGA PASAR UANG (SBPU) SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,41032209,PEND BNG EFEK2 DHGJT SBPU SRT BHRG KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,41032215,PEND BUNGA EFEK2 DHGJT SBPU SPN,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,41032301,PEND BNG EFEK2 DHGJT SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SERTIFIKAT BANK INONESIA (SBI),TAccount Category,Yes,41033101,PEND BNG EFEK2 TSD U/DJL SBI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) - SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,41033209,PEND BNG EFEK2 TSD U/DJL SBPU SB KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,41033210,PEND BUNGA EFEK2 TSD U/ DJL SBPU SPN,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) -OBLIGASI,TAccount Category,Yes,41033301,PEND BNG EFEK2 TSD U/DJL SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL PRODUK TREASURY,TAccount Category,Yes,41033401,PEND BNG EFEK2 TSD U/DJL PRD TREASURY,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK  REVERSE REPO PRODUK TREASURY,TAccount Category,Yes,41041103,PEND.BNG.EFEK2 REV.REPO PRODUK TREASURY,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA  OBLIGASI PEMERINTAH DIMILIKI HINGGA JATUH TEMPO,TAccount Category,Yes,41062101,PEND BNG OBL PEMERINTAH DHGJT,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA  OBLIGASI PEMERINTAH TERSEDIA UNTUK DIJUAL,TAccount Category,Yes,41063101,PEND BNG OBL PEMERINTAH TERSEDIA U/DJL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA LIABILITAS EFEK2 REPO RATE NEGATIF,TAccount Category,Yes,41099014,PENDAPATAN BUNGA LIABEFEK2 REPO REPO NEG,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LABA RUGI KURS FOREIGN EXCHANGE (FX) DEVISA UMUM (DU) TRANSAKSI,TAccount Category,Yes,44011101,POL LABA RUGI KURS FX DU TRANSAKSI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,TAccount Category,Yes,44511101,POL KEUNTUNGAN TRN DER NILAI WJR KURS,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR SUKU BUNGA,TAccount Category,Yes,44511102,POL KEUNTUNGAN TRN DER NILAI WJR SK BNG,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL)  EFEK-EFEK DIPERDAGANGKAN SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,45011101,POL EFEK2 DIPERDAGANGKAN SBI,TAccount,Revenue Sheet,Revenue,
POL EFEK2 DIPERDAGANGKAN SBPU REKSADANA,TAccount Category,Yes,45012601,POL EFEK2 DIPERDAGANGKAN SBPU REKSADANA,TAccount,Revenue Sheet,Revenue,
POL EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK INDONESIA (SUKBI),TAccount Category,Yes,45012701,POL EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) -  SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,45012801,POL EFEK2 DPDG SBPU SRT BHRG KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,45013101,POL EFEK2 DIPERDAGANGKAN SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK PRODUK TREASURY,TAccount Category,Yes,45023301,POL EFEK2 PRODUK TREASURY,TAccount,Revenue Sheet,Revenue,
